Title,css146c3p1,cssg5y9jx_divcontainsclass_cssg5y9jx,cssg5y9jx,cssg5y9jx1,cssg5y9jx2,cssg5y9jx3,css146c3p14
Good 👍,5,,5,Wonderful,Review for: Color Green • RAM 4 GB • Storage 64 GB,Soumen Shikari, · 7 months ago
Good mobile. If willing to buy for parents it's good with low budget,4,,4,Very Good,Review for: Color Green • RAM 4 GB • Storage 64 GB,Krishna, · 6 months ago
Value for money,5,,5,Fabulous!,Review for: Color Green • RAM 4 GB • Storage 64 GB,GSP  Chakravarthy, · 7 months ago
Nice phone according to price ....can buy it...,5,,5,Super!,Review for: Color Green • RAM 4 GB • Storage 64 GB,himanshu singh, · 7 months ago
Good For Basic Usage,4,,4,Really Nice,Review for: Color Blue • RAM 4 MB,," · May, 2019"
"Value for money.  Excellent Battery backup.  Very Good Tower Signal ,  Very good display,  Very Good voice Clarity.  Loud speaker. Overall Very good phone.",5,,5,Excellent Product,Review for: Color Blue • RAM 4 MB,Suresh kumar K," · Nov, 2019"
If you are looking for a budget bar/featured small handset to do your daily calls with longer battery mileage then this is the staff! Go buy it!,5,,5,Best in the market!,Review for: Color Blue • RAM 4 MB,," · Mar, 2021"
very nice lava phone,5,,5,Best in the market!,Review for: Color Blue • RAM 4 MB,," · Sep, 2019"
good quality mobile phone,5,,5,Worth every penny,Review for: Color Blue • RAM 4 MB,," · Aug, 2019"
Nice product,5,,5,Excellent,Review for: Color Blue • RAM 4 MB,," · Sep, 2020"
"Good display, good battery perfomanance, best gift for aged people. Easy to use, light weight",3,,3,Fair,Review for: Color Blue • RAM 4 MB,Bhavya Devu," · Jun, 2020"
awesome keypad set.. good battery backup.. nice look  👌,5,,5,Terrific purchase,Review for: Color Blue • RAM 4 MB,," · Aug, 2019"
good,5,,5,Terrific purchase,Review for: Color Blue • RAM 4 MB,Sankirtan  Majhi ," · Jun, 2019"
"Beautiful look, excellent working, long-life battery, value of money n more.....",5,,5,Terrific,Review for: Color Blue • RAM 4 MB,," · Jul, 2020"
"Supar phone 
Aaryan gorwal",5,,5,Mind-blowing purchase,Review for: Color White & Red • RAM 32 MB,," · Oct, 2023"
It is too good,5,,5,Excellent,Review for: Color White & Red • RAM 32 MB,Vikash Kumar," · Nov, 2023"
It's really amazing,5,,5,Awesome,Review for: Color Black & Red • RAM 32 MB,Varsha Varshini," · Oct, 2024"
"Guys, its awesome phone for calling. Its vibration is very hard. Vibration can hear in noise place if we keep phone in pocket. It has multimedia that is very great in this price segment. Please dont b...",5,,5,Terrific,Review for: Color Dark Blue • RAM 32 MB,Raja kumar  S/O Ambho yadav," · Feb, 2025"
"Value for money product. two SIM cards ,camera, battery ,charger is there which is really very great deal thanks JMAX",5,,5,Terrific,Review for: Color White & Red • RAM 32 MB,Flipkart Customer," · Oct, 2023"
Super 👌  mobile 📱  made in India at this price. Truly value for money. Battery 🔋 back is awesome goes around 2-3 days after charging.,4,,4,Pretty good,Review for: Color Black Gold • RAM 32 MB,Adarsh  Shukla," · Dec, 2023"
Very nice product,5,,5,Brilliant,Review for: Color Black & Red • RAM 32 MB,," · Nov, 2024"
Good phone,4,,4,Really Nice,Review for: Color Black Gold • RAM 32 MB,Pramod kk Parakkandy," · Dec, 2023"
Nice,4,,4,Really Nice,Review for: Color White & Red • RAM 32 MB,SHANKAR E," · Oct, 2023"
Very nice product,4,,4,Pretty good,Review for: Color Dark Blue • RAM 32 MB,Karan  Sharma , · 3 months ago
Nice phone in budget Happy 😊,4,,4,Delightful,Review for: Color Cool Blue • RAM 6 GB • Storage 128 GB,," · May, 2025"
Value for money,4,,4,Good quality product,Review for: Color Power Black • RAM 6 GB • Storage 128 GB,," · Apr, 2025"
Very good,4,,4,Value-for-money,Review for: Color Desert Gold • RAM 6 GB • Storage 128 GB,Flipkart Customer," · Apr, 2025"
Good budget range mobile,4,,4,Good quality product,Review for: Color Power Black • RAM 6 GB • Storage 128 GB,, · 7 months ago
Flipkart good service and best price poco c71 thank you,5,,5,Just wow!,Review for: Color Desert Gold • RAM 6 GB • Storage 128 GB,Flipkart Customer," · Apr, 2025"
Must phone,5,,5,Excellent,Review for: Color Desert Gold • RAM 6 GB • Storage 128 GB,," · May, 2025"
Mobile design is so pretty and I am satisfied this product in this price...😌🤞🏻💐❤️ Thankyou Flipkart 😃😃👍🏻👍🏻,5,,5,Mind-blowing purchase,Review for: Color Power Black • RAM 6 GB • Storage 128 GB,, · 8 months ago
"Battery is top notch,I bought it for my mom and she loved it, camera, performance is ok ok, great for this",4,,4,Pretty good,Review for: Color Desert Gold • RAM 6 GB • Storage 128 GB,Suneesh  Ks, · 8 months ago
"Not up to the mark. It is only helpful for parents who are only using it for calls.

Not worth it at this price.",3,,3,Fair,Review for: Color Desert Gold • RAM 6 GB • Storage 128 GB,Nageswararao Ganapavarapu," · Apr, 2025"
"Big display, friendly budget phone for parents and
Girls",4,,4,Worth the money,Review for: Color Desert Gold • RAM 6 GB • Storage 128 GB,, · 11 months ago
Awesome products and battery backup good money price good 👌,4,,4,Delightful,Review for: Color Emerald Green • RAM 32 MB,," · Dec, 2023"
It's good mobile,5,,5,Perfect product!,Review for: Color Terracotta Red • RAM 32 MB,," · Oct, 2024"
Bad 😞,3,,3,Decent product,Review for: Color Charcoal • RAM 32 MB,Flipkart Customer, · 9 months ago
Nice,4,,4,Good choice,Review for: Color Terracotta Red • RAM 32 MB,," · Feb, 2024"
Good,5,,5,Highly recommended,Review for: Color Charcoal • RAM 32 MB,," · Sep, 2023"
Very nice set and battery service is very good and the sound quality of the mobile is also very good.,5,,5,Wonderful,Review for: Color Charcoal • RAM 32 MB,," · Apr, 2025"
Good,4,,4,Nice product,Review for: Color Terracotta Red • RAM 32 MB,Joydeb Bose," · Jan, 2024"
Awsome,5,,5,Awesome,Review for: Color Terracotta Red • RAM 32 MB,," · Oct, 2023"
Super product very nice thank you Flipkart,4,,4,Worth the money,Review for: Color Charcoal • RAM 32 MB,Jonaki Sarma," · Oct, 2023"
Ok,3,,3,Nice,Review for: Color Charcoal • RAM 32 MB,Soorya Kt ," · Nov, 2023"
Very nice phone,5,,5,Mind-blowing purchase,Review for: Color Prismatic Green • RAM 6 GB • Storage 128 GB,Flipkart Customer, · 1 month ago
Better device in this price nice but SD missing Battery stands for 18 hrs,5,,5,Worth every penny,Review for: Color Prismatic Green • RAM 6 GB • Storage 128 GB,Flipkart Customer, · 1 month ago
This phone good warking battery in a long time use my be 1 full day,5,,5,Terrific,Review for: Color Titan Black • RAM 6 GB • Storage 128 GB,Abhishek  Chaudhari , · 1 month ago
Best phone but need more good looking with the design,5,,5,Wonderful,Review for: Color Prismatic Green • RAM 6 GB • Storage 128 GB,Tapan Santra, · 1 month ago
Best Phone Iqoo z11x This value for money All Good,5,,5,Excellent,Review for: Color Prismatic Green • RAM 6 GB • Storage 128 GB,, · 1 month ago
Very good mobile,5,,5,Mind-blowing purchase,Review for: Color Prismatic Green • RAM 6 GB • Storage 128 GB,, · 1 month ago
excellent product,5,,5,Best in the market!,Review for: Color Titan Black • RAM 6 GB • Storage 128 GB,Trilok  Verma, · 1 month ago
Best iqoo phone,5,,5,Perfect product!,Review for: Color Prismatic Green • RAM 6 GB • Storage 128 GB,, · 8 days ago
Good phone battery is heavy 2 Day battery backup,5,,5,Great product,Review for: Color Prismatic Green • RAM 6 GB • Storage 128 GB,Flipkart Customer, · 1 month ago
Good product,5,,5,Mind-blowing purchase,Review for: Color Prismatic Green • RAM 6 GB • Storage 128 GB,taiyub ullah, · 1 month ago
"Good camera 
Good display 
Good battery backup 
Good in gaming 120fps in bgmi 
Good in charging speed
Good in mobile handset feel

Con:
That would be good if they provide screen guard and back cover, ...",5,,5,Best in the market!,Review for: Color Pantone SILHOUETTE • RAM 8 GB • Storage 256 GB,, · 2 months ago
Awesome Phone 📱🤳,5,,5,Fabulous!,Review for: Color Pantone BLUE SURF • RAM 8 GB • Storage 128 GB,, · 2 months ago
"The battery is too good and the camera is awesome.
Perfomance excellent.
The design looks pretty.",5,,5,Fabulous!,Review for: Color Pantone SILHOUETTE • RAM 8 GB • Storage 128 GB,Kiran N, · 2 months ago
"Great for gaming and daily use. No lag, very smooth experience.",5,,5,Mind-blowing purchase,Review for: Color Pantone BLUE SURF • RAM 8 GB • Storage 128 GB,, · 2 months ago
"Camera is good 4.5/ 5
Display.              5. / 5
Battery.              4.5/5
Over all 3 days use phone so good...",5,,5,Awesome,Review for: Color Pantone SILHOUETTE • RAM 8 GB • Storage 128 GB,Soosai Prabu, · 2 months ago
"The camera quality is very nice ❤️
Also the battery have long life ❤️
Everything is too good everyone must buy this phone 📱",5,,5,Simply awesome,Review for: Color Pantone BLUE SURF • RAM 8 GB • Storage 128 GB,, · 1 month ago
"* camera 8/10
*Performance 9/10
*Battery backup 10/10
*Display 10/10
No other issues, just have some bugs and no other problem . Highly recommend in this segment",4,,4,Good quality product,Review for: Color Pantone BLUE SURF • RAM 8 GB • Storage 256 GB,, · 21 days ago
Super phone everything is good,5,,5,Terrific purchase,Review for: Color Pantone BLUE SURF • RAM 8 GB • Storage 128 GB,, · 2 months ago
"Ignore the negative reviews. 
The camera, battery, performance and display are awesome.
There is no doubt about it. 
Although there is a little heating issue while charging (but don't worry because it...",5,,5,Great product,Review for: Color Pantone BLUE SURF • RAM 8 GB • Storage 128 GB,Flipkart Customer, · 1 month ago
"Very good balance in mid range. Except the side frame which is plastic, build is pretty good and handy with quite less weight for the massive 7000mah.
Display: 5/5
Battery: 5/5
Speakers: 5/5
Build: 4/...",5,,5,Fabulous!,Review for: Color Pantone COUNTRY AIR • RAM 8 GB • Storage 256 GB,, · 2 months ago
Nice product,5,,5,Worth every penny,Review for: Color Black • RAM 4 GB • Storage 64 GB,Divyashree M, · 3 months ago
Budget mobile,5,,5,Perfect product!,Review for: Color Black • RAM 4 GB • Storage 64 GB,Sovit Samantara , · 3 months ago
Awesome in this range,5,,5,Wonderful,Review for: Color Black • RAM 4 GB • Storage 64 GB,Flipkart Customer, · 1 month ago
Good,3,,3,Nice,Review for: Color Black • RAM 4 GB • Storage 64 GB,Num bahadur Adhikari , · 2 months ago
Best for budget phone,4,,4,Good choice,Review for: Color Black • RAM 4 GB • Storage 64 GB,Flipkart Customer, · 2 months ago
Good,4,,4,Very Good,Review for: Color Black • RAM 4 GB • Storage 64 GB,N.. Sanjeet , · 2 months ago
Very slow.,2,,2,Expected a better product,Review for: Color Black • RAM 4 GB • Storage 64 GB,Flipkart Customer, · 1 month ago
Nice,5,,5,Highly recommended,Review for: Color Black • RAM 4 GB • Storage 64 GB,Dharshini Abi, · 5 days ago
All good.,5,,5,Perfect product!,Review for: Color Black • RAM 4 GB • Storage 64 GB,Raj Gupta, · 5 days ago
Single SIM is working very bad,3,,3,Just okay,Review for: Color Dark Blue • RAM 4 MB,Flipkart Customer," · Mar, 2024"
"Good voice quality nice battery backup.
Good sound quality
Worth for money",5,,5,Awesome,Review for: Color Dark Blue • RAM 4 MB,Nandha Kumar," · Nov, 2023"
Nice 👍,5,,5,Wonderful,Review for: Color Dark Blue • RAM 4 MB,," · Apr, 2024"
Good,5,,5,Just wow!,Review for: Color Purple • RAM 4 MB,," · Jan, 2024"
"Great product by flipkart, loved by my father.",5,,5,Wonderful,Review for: Color Dark Blue • RAM 4 MB,," · Dec, 2023"
Total money waste 😭😭😭,4,,4,Expected a better product,Review for: Color Light Gold • RAM 4 MB,R.P Muthu, · 10 months ago
Very nice 💯💯💯💯💯🙂🙂🙂🙂🙂🙂🙂🙂🙂🙂🙂🙂🙂🙂,5,,5,Perfect product!,Review for: Color Dark Blue • RAM 4 MB,," · Jan, 2024"
Nokia forever good...,4,,4,Very Good,Review for: Color Light Gold • RAM 4 MB,," · Jul, 2024"
Good quality,5,,5,Mind-blowing purchase,Review for: Color Purple • RAM 4 MB,Athira  sanoj," · Nov, 2023"
"build quality is great(feel😊)
speakers are good
wireless FM🤟
Memory card 👍, but phone read only mp3. Other formats like aac, m4a, and opus not supported
screen is okay, but have used nokiaX2-00, th...",5,,5,Excellent,Review for: Color Dark Blue • RAM 4 MB,Flipkart Customer," · May, 2024"
Good,5,,5,Perfect product!,Review for: Color Marine Blue • RAM 4 GB • Storage 128 GB,Sawmtei Chawngthu, · 1 month ago
Mind blowing 😎,5,,5,Terrific purchase,Review for: Color Maroon Red • RAM 4 GB • Storage 128 GB,, · 24 days ago
Thisbis ok as per money,4,,4,Good quality product,Review for: Color Aqua Blue • RAM 4 GB • Storage 128 GB,Dhaval Yadav, · 8 days ago
Ok,5,,5,Terrific,Review for: Color Aqua Blue • RAM 4 GB • Storage 128 GB,Ajith Ak, · 9 days ago
"Price is high.
Phone is best,",5,,5,Brilliant,Review for: Color Aqua Blue • RAM 4 GB • Storage 128 GB,Devan Ram, · 11 days ago
Okok,3,,3,Don't waste your money,Review for: Color Aqua Blue • RAM 4 GB • Storage 128 GB,Shiv  Kumar, · 1 month ago
Overall good deal,5,,5,Wonderful,Review for: Color Marine Blue • RAM 4 GB • Storage 128 GB,Rahul Singh, · 7 days ago
"Worst product, buy and regret",1,,1,Hated it!,Review for: Color Maroon Red • RAM 4 GB • Storage 128 GB,Nazir  Shaikh, · 9 days ago
Not work properly,2,,2,Moderate,Review for: Color Aqua Blue • RAM 4 GB • Storage 128 GB,R S, · 12 days ago
After some time my mobile is switch off,1,,1,Very poor,Review for: Color Aqua Blue • RAM 4 GB • Storage 128 GB,Vikash Patel, · 16 days ago
good,4,,4,Pretty good,Review for: Color Black • RAM 6 GB • Storage 128 GB,Bablu Pal, · 2 months ago
Good phone,4,,4,Pretty good,Review for: Color Purple • RAM 6 GB • Storage 128 GB,, · 1 month ago
Good mobile in this budget ✨,4,,4,Delightful,Review for: Color Black • RAM 6 GB • Storage 128 GB,Likhith Reddy M, · 2 months ago
NICE MOBILE FOR THIS PRICE,5,,5,Just wow!,Review for: Color Black • RAM 6 GB • Storage 128 GB,PRAKASH Soni, · 2 months ago
"Such a good smart phone in your pocket budget...
Thank you flipkart",5,,5,Great product,Review for: Color Pink • RAM 6 GB • Storage 128 GB,, · 1 month ago
Phone is very good 😊 I am totally satisfied with phone thank you Flipkart 💗 you can play bgmi on 40 fps there are so many frame drops but it's so okay thank you ai pulse company battery optimisation...,5,,5,Perfect product!,Review for: Color Black • RAM 6 GB • Storage 128 GB,Ayesha siddiqa Simu, · 2 months ago
"Some apps are not supporting or working properly, vibration on screen is often a problem. Camera quality is not good. Rest is not good but ok.",3,,3,Good,Review for: Color Black • RAM 6 GB • Storage 128 GB,Ashok  Kumar Jha , · 2 months ago
It's an awesome phone overall..great budget phone..I like it,4,,4,Good quality product,Review for: Color Black • RAM 6 GB • Storage 128 GB,Rahul, · 1 month ago
Touch pannel issue,2,,2,Moderate,Review for: Color Black • RAM 6 GB • Storage 128 GB,Bhanu Raj, · 1 month ago
Camera quality is so bad not expected,3,,3,Does the job,Review for: Color Black • RAM 6 GB • Storage 128 GB,Reetu Vij, · 2 months ago
"good in hand feel 
camera is to good
great One UI",5,,5,Awesome,Review for: Color Light Green • RAM 6 GB • Storage 128 GB,, · 5 months ago
"All of this is fine at this price range , but the battery backup is a more disappointing. It doesn't last for 8 hours even after a full charge, and one thing there is no built in app lock function in ...",3,,3,Slightly disappointed,Review for: Color Velvet Black / Black • RAM 6 GB • Storage 128 GB,Md Atique Anwar, · 8 months ago
Mid range quality product,5,,5,Wonderful,Review for: Color Light Green • RAM 6 GB • Storage 128 GB,Happy Dhiman, · 8 months ago
I bought it for 16.5k. had no bank offers at the time. Seems a bit higher than it's average listing price. 15k is apt for it. Camera quality is 5/5. UI is 5/5. Only negative is it's battery life 4/5. ...,4,,4,Really Nice,Review for: Color Velvet Black / Black • RAM 6 GB • Storage 128 GB,Venkatesh G, · 2 months ago
I love it,5,,5,Mind-blowing purchase,Review for: Color Velvet Black / Black • RAM 6 GB • Storage 128 GB,Arvind Singh, · 8 months ago
Nice mobile,5,,5,Worth every penny,Review for: Color Orange Haze / Orange • RAM 6 GB • Storage 128 GB,, · 8 months ago
According This Price Range Nice Product. No Charger in box. Camara satisfied and battery 🔋 not so much good. Definitely loved this product.,4,,4,Very Good,Review for: Color Light Green • RAM 6 GB • Storage 128 GB,, · 8 months ago
Adapter not given as per promise. Otherwise very good phone,4,,4,Delightful,Review for: Color Velvet Black / Black • RAM 6 GB • Storage 128 GB,Deepak  Yadav, · 8 months ago
Everything worth it except the battery backup. Atleast 2 times charge is required per day with minimalistic usage. Need to optimize that in upcoming versions.,4,,4,Wonderful,Review for: Color Velvet Black / Black • RAM 6 GB • Storage 128 GB,Subhagata Mandal, · 5 months ago
Very good,5,,5,Highly recommended,Review for: Color Light Green • RAM 6 GB • Storage 128 GB,Ajay Kumar, · 9 months ago
Nice product ✨❤,5,,5,Excellent,Review for: Color Charcoal • RAM 32 MB,," · Jul, 2023"
Awesome Product ❤️❤️❤️❤️❤️⭐⭐⭐⭐⭐,5,,5,Highly recommended,Review for: Color Terracotta Red • RAM 32 MB,," · Jan, 2024"
Very fine 3.5 star to me. looks a good one but i have to wait for full result.,3,,3,Just okay,Review for: Color Cyan • RAM 32 MB,," · Jul, 2023"
Battery backup is Good enough And the mic and speaker quality is better than other keypad phones. The UPI app is worked excellent and very Useful it is . That's it and through at this price Worth it 👍.,4,,4,Good quality product,Review for: Color Charcoal • RAM 32 MB,Raj Kumar," · Sep, 2023"
"The mobile was already used by someone in 2024
When I'm installed Battery in the mobile torch light is coming automatically  and the charger is rusted 
Totally it was used by some one  I don't want an...",3,,3,Decent product,Review for: Color Charcoal • RAM 32 MB,Thampula  Ravi Teja," · May, 2025"
Excellent 👌,5,,5,Awesome,Review for: Color Cyan • RAM 32 MB,," · Jul, 2023"
Best mobile for parents it's easily accessible ☺️ and performance also good battery 🔋 becup very nice,5,,5,Brilliant,Review for: Color Charcoal • RAM 32 MB,," · Oct, 2023"
Useful product thank you fkipcart,5,,5,Brilliant,Review for: Color Terracotta Red • RAM 32 MB,," · Nov, 2023"
Nice Product 👍,5,,5,Mind-blowing purchase,Review for: Color Terracotta Red • RAM 32 MB,," · Apr, 2024"
Thankyou,5,,5,Excellent,Review for: Color Cyan • RAM 32 MB,Flipkart Customer," · Jul, 2023"
Nice,4,,4,Delightful,Review for: Color Blue • RAM 32 MB,," · Jun, 2022"
"Valu of money, But it takes a long time to Full charging...",4,,4,Good quality product,Review for: Color Marsala • RAM 32 MB,," · May, 2022"
Very good product minimum money benefit so high,5,,5,Worth every penny,Review for: Color Blue • RAM 32 MB,," · Mar, 2022"
Nice phone👌,5,,5,Best in the market!,Review for: Color Blue • RAM 32 MB,," · Jun, 2022"
This phone is a show stopper and quite ahead of it's competition. Actually it's a well balanced and a complete package of a phone. Camera quality is decent on this you don't get a flash but in the mea...,5,,5,Must buy!,Review for: Color Marsala • RAM 32 MB,," · Jun, 2022"
Very nice 👌👌👍,5,,5,Terrific purchase,Review for: Color Blue • RAM 32 MB,," · May, 2022"
"The phone is good looking and feels compact in hand inspite of having a huge battery. But the call audio quality in handset mode or handsfree is very poor, one can't even make out what is being said t...",3,,3,Nice,Review for: Color Blue • RAM 32 MB,Suvayu Das," · Jun, 2022"
Mind blowing Mobile... Sound quality is very good..... ❤️,5,,5,Terrific,Review for: Color Blue • RAM 32 MB,," · May, 2022"
Good phone in  this price range,4,,4,Delightful,Review for: Color Marsala • RAM 32 MB,," · May, 2023"
Nyc ❣️,5,,5,Terrific purchase,Review for: Color Blue • RAM 32 MB,," · Jul, 2022"
Good phone in this budget. I'm using poco phone last 3 years. Good performance.,4,,4,Value-for-money,Review for: Color Ocean Blue • RAM 8 GB • Storage 128 GB,Soumyo C," · Mar, 2025"
Very good camera quality and best Performance,3,,3,Fair,Review for: Color Ocean Blue • RAM 8 GB • Storage 128 GB,," · Apr, 2025"
"Low baget best mobile phone. 
Battery charge time too much.. 
Phone speed just wow.. 
Camera not good. 
Overall rating 3.5 out of 5",5,,5,Mind-blowing purchase,Review for: Color Ocean Blue • RAM 8 GB • Storage 128 GB,MD ANWAR HOSSAIN," · Mar, 2025"
Nice 👍 phone is this Budget segment good quality ❤️❤️❤️❤️❤️,5,,5,Mind-blowing purchase,Review for: Color Ocean Blue • RAM 8 GB • Storage 128 GB,," · Mar, 2025"
Best budget phone,3,,3,Does the job,Review for: Color Ocean Blue • RAM 8 GB • Storage 128 GB,," · Apr, 2025"
I love this product is very good,5,,5,Fabulous!,Review for: Color Satin Black • RAM 8 GB • Storage 128 GB,Surya prakash," · Mar, 2025"
Decent product with reasonable price. Good option for parents.,3,,3,Just okay,Review for: Color Satin Black • RAM 8 GB • Storage 128 GB,Atul Tyagi," · Mar, 2025"
good product in this price range,4,,4,Nice product,Review for: Color Satin Black • RAM 8 GB • Storage 128 GB,Rajesh Bordia," · Mar, 2025"
Value for money,4,,4,Wonderful,Review for: Color Satin Black • RAM 8 GB • Storage 128 GB,Bijit Biswas, · 9 months ago
Good product,5,,5,Simply awesome,Review for: Color Satin Black • RAM 8 GB • Storage 128 GB,," · Apr, 2025"
Good looking...thank you filpkart,5,,5,Terrific purchase,Review for: Color Sage Green • RAM 4 GB • Storage 128 GB,," · May, 2025"
Good,5,,5,Mind-blowing purchase,Review for: Color Sage Green • RAM 4 GB • Storage 128 GB,Gopal Das," · Apr, 2025"
Good,5,,5,Just wow!,Review for: Color Sage Green • RAM 4 GB • Storage 128 GB,Pandey Manoj bhai, · 10 months ago
All is good,5,,5,Just wow!,Review for: Color Sage Green • RAM 4 GB • Storage 128 GB,Aarya Yashwant ," · Apr, 2025"
Good as expected,5,,5,Fabulous!,Review for: Color Sage Green • RAM 4 GB • Storage 128 GB,, · 7 months ago
"The product is good as expected, good product for a lesser price. 
You can buy this mobile if you want to use mobile for lightwork.",5,,5,Just wow!,Review for: Color Sage Green • RAM 4 GB • Storage 128 GB,Flipkart Customer," · May, 2025"
Camera not good,2,,2,Moderate,Review for: Color Sage Green • RAM 4 GB • Storage 128 GB,Flipkart Customer," · Mar, 2025"
Currently buying this product not worth it,3,,3,Nice,Review for: Color Blazing Black • RAM 4 GB • Storage 128 GB,, · 19 days ago
Wow The Phone is original and Top notch the quality feel and light weight and in hand phone experience is awesome but you won't get any Tpu case or protection film by the company only a charging cable...,5,,5,Great product,Review for: Color Sage Green • RAM 4 GB • Storage 128 GB,, · 6 months ago
Camera is good. Battery backup is also good. Performance is normal display is also good. Value for money mobile phone (Nadeem Siddiqui),5,,5,Classy product,Review for: Color Sage Green • RAM 4 GB • Storage 128 GB,Flipkart Customer," · May, 2025"
"Poco C85 5G is good. 
Sleeky design.
Processor is good 
Camera is better. 
Value for money. 
And giving many features amongst competitors Mobile Brands of same range.",4,,4,Very Good,Review for: Color Mystic Purple • RAM 4 GB • Storage 128 GB,, · 3 months ago
Mobile is not performance very well as expected other brand like realme,3,,3,Just okay,Review for: Color Mystic Purple • RAM 4 GB • Storage 128 GB,Pratibha Chaturvedi, · 2 months ago
Best phone of poco Xiaomi,5,,5,Highly recommended,Review for: Color Mystic Purple • RAM 4 GB • Storage 128 GB,, · 1 month ago
"The product quality is consistently outstanding, exceeding my expectations every time very Good Mobile for daily use..go for it.. Thank You Flipkart for fast service.",5,,5,Perfect product!,Review for: Color Spring Green • RAM 4 GB • Storage 128 GB,, · 4 months ago
Nice mobail,5,,5,Best in the market!,Review for: Color Mystic Purple • RAM 4 GB • Storage 128 GB,Devendra D Purohit, · 5 months ago
Good,5,,5,Simply awesome,Review for: Color Power Black • RAM 4 GB • Storage 128 GB,Albin Kurian, · 4 months ago
Everything is ok... Battery best ... camera Best in this price.. but phone software issue hanging,3,,3,Decent product,Review for: Color Power Black • RAM 4 GB • Storage 128 GB,Maninder  Singh , · 2 months ago
"Best such for a mobile, value for money",5,,5,Excellent,Review for: Color Mystic Purple • RAM 4 GB • Storage 128 GB,, · 10 days ago
I haven't used it for even a day so will update my review later. 😃,4,,4,Good quality product,Review for: Color Spring Green • RAM 4 GB • Storage 128 GB,Aman kumar Customer, · 1 month ago
Its not work fast as alike pocox6 pro. It take slow transition,3,,3,Does the job,Review for: Color Mystic Purple • RAM 4 GB • Storage 128 GB,khushal p  Mudholakar, · 22 days ago
Sometimes hang issue,3,,3,Nice,Review for: Color Mystic Purple • RAM 4 GB • Storage 128 GB,Rahul Sharma, · 19 days ago
Overall good ⭐⭐⭐,3,,3,Decent product,Review for: Color Mystic Purple • RAM 4 GB • Storage 128 GB,Flipkart Customer, · 24 days ago
"Very bad performance and heat,and hanging",2,,2,Not good,Review for: Color Spring Green • RAM 4 GB • Storage 128 GB,Bethi. Shiva, · 1 month ago
I wasted money by buying very bed mobile,1,,1,Hated it!,Review for: Color Mystic Purple • RAM 4 GB • Storage 128 GB,Mrj Swarnakar , · 5 months ago
Very wonderfull moblie for normal users and lite game user,5,,5,Classy product,Review for: Color Mystic Purple • RAM 4 GB • Storage 128 GB,, · 8 days ago
Fantastic phone,5,,5,Must buy!,Review for: Color Mystic Purple • RAM 4 GB • Storage 128 GB,RAVIT SHARMA, · 10 days ago
This mobile very very hanging,2,,2,Slightly disappointed,Review for: Color Mystic Purple • RAM 4 GB • Storage 128 GB,manjunath Ysk, · 1 month ago
Good,5,,5,Just wow!,Review for: Color Power Black • RAM 4 GB • Storage 128 GB,Monu  Chaudhary, · 3 months ago
Nice phone at this price range.. phone is very responsive..no lag in day to day task,4,,4,Good choice,Review for: Color Black • RAM 6 GB • Storage 128 GB,Pankaj Panjiyar, · 10 months ago
The best product in the badget,5,,5,Super!,Review for: Color Black • RAM 6 GB • Storage 128 GB,, · 8 months ago
According to the budget this is quiet enough,4,,4,Good choice,Review for: Color Pink • RAM 6 GB • Storage 128 GB,, · 5 months ago
"Best smart phone 
Camera battery all are good",5,,5,Brilliant,Review for: Color Black • RAM 6 GB • Storage 128 GB,, · 10 months ago
Nice phone,4,,4,Delightful,Review for: Color Blue • RAM 6 GB • Storage 128 GB,Flipkart Rajesh Reddy , · 9 months ago
"Superb quality...just got at effective price of 6700
 Battery backup is very good.",5,,5,Simply awesome,Review for: Color Green • RAM 6 GB • Storage 128 GB,, · 3 months ago
Nice product,5,,5,Mind-blowing purchase,Review for: Color Green • RAM 6 GB • Storage 128 GB,Flipkart Customer, · 8 months ago
Mobile is good in this price but while charging mobile hangs.,5,,5,Brilliant,Review for: Color Purple • RAM 6 GB • Storage 128 GB,Mohammed  Najmi, · 9 months ago
Nice,5,,5,Terrific,Review for: Color Blue • RAM 6 GB • Storage 128 GB,, · 5 months ago
Under price best mobile,5,,5,Terrific,Review for: Color Black • RAM 6 GB • Storage 128 GB,Vimal Kumar, · 9 months ago
Anyways Great Phone for the Price. RAM and ROM are the best !! Can't open hidden apps. Should upgrade Settings and also add New and Premium Themes. A Great Phone to be Made in India,4,,4,Worth the money,Review for: Color Blue • RAM 6 GB • Storage 128 GB,Flipkart Customer, · 6 months ago
I've used this phone for the last 3 days it's good for normal task not for havy task value for money,5,,5,Wonderful,Review for: Color Blue • RAM 6 GB • Storage 128 GB,Rishav Chowdhury, · 10 months ago
Very nice phone in bajet pri,5,,5,Wonderful,Review for: Color Pink • RAM 6 GB • Storage 128 GB,PRASAD WAGHMARE, · 8 months ago
This was a good phone 👍🏻😊,4,,4,Very Good,Review for: Color Black • RAM 6 GB • Storage 128 GB,, · 4 months ago
It is good but performance bad,3,,3,Fair,Review for: Color Blue • RAM 6 GB • Storage 128 GB,Keshava Reddy, · 10 months ago
Nice,4,,4,Pretty good,Review for: Color Black • RAM 6 GB • Storage 128 GB,Raghu  Naik, · 7 months ago
Very good for this low proce,5,,5,Excellent,Review for: Color Green • RAM 6 GB • Storage 128 GB,, · 7 months ago
