Title,css146c3p1,cssg5y9jx_divcontainsclass_cssg5y9jx,cssg5y9jx,cssg5y9jx1,cssg5y9jx2,cssg5y9jx3,css146c3p14
Nyc camera beautiful moments,5,,5,Terrific purchase,Review for: Color Pantone tapestry • RAM 4 GB • Storage 64 GB,, · 6 months ago
Budget friendly phone for parents,5,,5,Highly recommended,Review for: Color Pantone Tendril • RAM 4 GB • Storage 64 GB,Archana Kumari, · 6 months ago
50MP rear camera is a gem. Selfies with 8MP front are also great. 5 stars,5,,5,Perfect product!,Review for: Color Pantone Laurel Oak • RAM 4 GB • Storage 64 GB,Flipkart Customer, · 6 months ago
Amazing product.... All good,5,,5,Must buy!,Review for: Color Pantone Tendril • RAM 4 GB • Storage 64 GB,MuthukumaraN, · 5 months ago
Potric mode best photo,4,,4,Really Nice,Review for: Color Pantone Tendril • RAM 4 GB • Storage 64 GB,, · 5 months ago
"Nice phone, good quality of camera.sound is loud.performance is good",5,,5,Best in the market!,Review for: Color Pantone Laurel Oak • RAM 4 GB • Storage 64 GB,, · 6 months ago
7000 mAh battery + Helio G81-long power and smooth performance.,5,,5,Perfect product!,Review for: Color Pantone Laurel Oak • RAM 4 GB • Storage 64 GB,, · 6 months ago
"Really awesome product. I doesn't that much quality at this price. Literally worth it! Camera is so good , performance is perfect, especially this is three slot mobile. Same time we can use two Sims a...",5,,5,Mind-blowing purchase,Review for: Color Pantone Laurel Oak • RAM 4 GB • Storage 64 GB,Surya S, · 6 months ago
Superb performance,5,,5,Worth every penny,Review for: Color Pantone tapestry • RAM 4 GB • Storage 64 GB,, · 6 months ago
7000 mAh battery is a beast. Even heavy use lasts 3 days. 5/5,5,,5,Great product,Review for: Color Pantone tapestry • RAM 4 GB • Storage 64 GB,Niranjan Mishra, · 6 months ago
Good handset and quality,5,,5,Must buy!,Review for: Color Sea Blue • RAM 4 GB • Storage 128 GB,Aadesh Palkhe, · 2 months ago
Best mobile in this price range,5,,5,Perfect product!,Review for: Color Sea Blue • RAM 4 GB • Storage 64 GB,Flipkart Customer, · 2 months ago
Superb TQ flipkart,5,,5,Brilliant,Review for: Color Sea Blue • RAM 4 GB • Storage 64 GB,, · 28 days ago
All features kwality is avarage but in this price range all good,5,,5,Great product,Review for: Color Beach Gold • RAM 4 GB • Storage 64 GB,Ashish Chavan, · 2 months ago
Nice product in this price range. Go for it,5,,5,Classy product,Review for: Color Sea Blue • RAM 4 GB • Storage 128 GB,Manash  Das, · 1 month ago
Good,5,,5,Great product,Review for: Color Beach Gold • RAM 4 GB • Storage 128 GB,mano senthil, · 2 months ago
Good quality and look awesome and perfect colour,5,,5,Best in the market!,Review for: Color Sea Blue • RAM 4 GB • Storage 64 GB,, · 1 month ago
Fantastic job,5,,5,Just wow!,Review for: Color Beach Gold • RAM 4 GB • Storage 64 GB,AYUSH SHIVAM  VERMA , · 1 month ago
Very Nice Product,5,,5,Must buy!,Review for: Color Sea Blue • RAM 4 GB • Storage 128 GB,RAJANI BISHNOI, · 19 days ago
Good,5,,5,Perfect product!,Review for: Color Beach Gold • RAM 4 GB • Storage 64 GB,Niraj  Kumar, · 2 months ago
So cool wark,5,,5,Great product,Review for: Color Gold • RAM 32 MB,Adhitya Bangaru, · 3 months ago
Very nice phone,4,,4,Really Nice,Review for: Color Gold • RAM 32 MB,PARMANAND BELWANSHI, · 2 months ago
Very good 👍😊,3,,3,Fair,Review for: Color Silver • RAM 32 MB,MD JUBAIR, · 2 months ago
Device no SIM card problem,1,,1,Worst experience ever!,Review for: Color Gold • RAM 32 MB,Flipkart Customer, · 3 months ago
Bad pudak,1,,1,Did not meet expectations,Review for: Color Gold • RAM 32 MB,Biswajit Roy, · 3 days ago
Bad,2,,2,Moderate,Review for: Color Gold • RAM 32 MB,Sanjay  wedekar, · 14 days ago
"Very rubbish, no return policy , dont buy this product guys. It is a rubbish phone, not even showing signal at all.

Very bad product",1,,1,Hated it!,Review for: Color Gold • RAM 32 MB,, · 19 days ago
Very bad prodact,1,,1,Unsatisfactory,Review for: Color Gold • RAM 32 MB,Kiron Mia, · 1 month ago
Worst,1,,1,Don't waste your money,Review for: Color Gold • RAM 32 MB,Muthu Kumar, · 1 month ago
Camera quality super phone working very smuth battery backup good fast delivery all over experience fine thanks moto,5,,5,Brilliant,Review for: Color Pantone Fluidity • RAM 8 GB • Storage 128 GB,, · 5 months ago
"In one word this phone is just wooooowwww

This is a complete package under 13k

Battery 5/5  7000mah 2 days backup with heavy to moderate uses

Display 4/5 IPS LCD vibrant true color 

Performance 5/...",4,,4,Pretty good,Review for: Color Pantone Corsair • RAM 8 GB • Storage 128 GB,Amit Tripathi, · 5 months ago
Very Good product,5,,5,Mind-blowing purchase,Review for: Color Pantone Fluidity • RAM 8 GB • Storage 128 GB,, · 5 months ago
Seems ok...let's see how it performs..as of now everything is fine.got it today,4,,4,Pretty good,Review for: Color Pantone Regatta • RAM 8 GB • Storage 128 GB,, · 5 months ago
"Camera more than expected 
Battery 🔋  powerful 
Performance ek no.
Design best hai
Sound quality top notch 😁 
Display good 👍",5,,5,Just wow!,Review for: Color Pantone Corsair • RAM 8 GB • Storage 128 GB,, · 5 months ago
"Nice mobile 
Great work MOTO",5,,5,Just wow!,Review for: Color Pantone Regatta • RAM 8 GB • Storage 128 GB,, · 5 months ago
Good product,5,,5,Worth every penny,Review for: Color Pantone Fluidity • RAM 8 GB • Storage 128 GB,, · 5 months ago
This phone is good but don't have a dam album/gallery where you can see photos you have to download a external app from Play store which is full of add and ruin all experience,4,,4,Good quality product,Review for: Color Pantone Fluidity • RAM 8 GB • Storage 128 GB,Somu  Prasad, · 5 months ago
The photos are decent and the battery lasts well for the price.,4,,4,Delightful,Review for: Color Pantone Fluidity • RAM 8 GB • Storage 128 GB,, · 2 months ago
This is good mobile. But battery is not expect 7000 mah perfom.,4,,4,Nice product,Review for: Color Pantone Fluidity • RAM 8 GB • Storage 128 GB,, · 5 months ago
super must buy..battery back up good,5,,5,Best in the market!,Review for: Color Green • RAM 4 MB,Prasanna G," · Jun, 2024"
